did,oid,ent,sectionId,laneIndex,xCoord,yCoord,time,speed,travelledDistance,acceleration
462536,1844,109,1456,1,446506.28,210590.28,260.8,62.14,1495.1,0.0
462536,1844,110,1456,1,446519.92,210592.44,261.6,62.14,1508.91,0.0
462536,1844,111,1456,1,446533.56,210594.6,262.4,62.14,1522.72,0.0
462536,1844,112,1456,1,446547.19,210596.76,263.2,62.14,1536.53,0.0
462536,1844,113,1456,1,446560.83,210598.92,264.0,62.14,1550.33,0.0
462536,1844,114,1456,1,446574.47,210601.08,264.8,62.14,1564.14,0.0
462536,1844,115,1456,1,446588.11,210603.25,265.6,62.14,1577.95,0.0
462536,1844,116,1456,1,446601.75,210605.41,266.4,62.14,1591.76,0.0
462536,1844,117,1456,1,446615.41,210607.45,267.2,62.14,1605.57,0.0
462536,1844,118,1456,1,446629.08,210609.4,268.0,62.14,1619.38,0.0
462536,1844,119,1456,1,446642.75,210611.35,268.8,62.14,1633.19,0.0
462536,1844,120,1456,1,446656.42,210613.31,269.6,62.14,1647.0,0.0
462536,1844,121,1456,1,446670.09,210615.26,270.4,62.14,1660.81,0.0
462536,1844,122,1456,1,446683.76,210617.2,271.2,62.14,1674.61,0.0
462536,1844,123,1456,1,446697.43,210619.13,272.0,62.14,1688.42,0.0
462536,1844,124,1456,1,446711.1,210621.06,272.8,62.14,1702.23,0.0
462536,1844,125,1456,1,446724.78,210622.99,273.6,62.14,1716.04,0.0
462536,1844,126,1456,1,446738.45,210624.92,274.4,62.14,1729.85,0.0
462536,1844,127,1456,1,446752.12,210626.85,275.2,62.14,1743.66,0.0
462536,1844,128,1456,1,446765.8,210628.78,276.0,62.14,1757.47,0.0
462536,1844,129,1456,1,446779.47,210630.71,276.8,62.14,1771.28,0.0
462536,1844,130,1456,1,446793.14,210632.64,277.6,62.14,1785.08,0.0
462536,1844,131,1456,1,446806.82,210634.56,278.4,62.14,1798.89,0.0
462536,1844,132,1456,1,446820.49,210636.49,279.2,62.14,1812.7,0.0
462536,1844,133,1456,1,446834.16,210638.42,280.0,62.14,1826.51,0.0
462536,1844,134,1456,1,446847.84,210640.35,280.8,62.14,1840.32,0.0
462536,1844,135,1456,1,446861.51,210642.28,281.6,62.14,1854.13,0.0
462536,1844,136,1456,1,446875.18,210644.21,282.4,62.14,1867.94,0.0
462536,1844,137,1456,1,446888.86,210646.14,283.2,62.14,1881.75,0.0
462536,1844,138,1456,1,446902.56,210647.87,284.0,62.14,1895.55,0.0
462536,1844,139,1456,1,446916.28,210649.41,284.8,62.14,1909.36,0.0
462536,1844,140,1456,1,446930.0,210650.94,285.6,62.14,1923.17,0.0
462536,1844,141,1456,1,446943.73,210652.47,286.4,62.14,1936.98,0.0
462536,1844,142,1456,1,446957.45,210654.01,287.2,62.14,1950.79,0.0
462536,1844,143,1456,1,446971.17,210655.54,288.0,62.14,1964.6,0.0
462536,1844,144,1456,1,446984.9,210657.07,288.8,62.14,1978.41,0.0
462536,1844,145,1456,1,446998.62,210658.61,289.6,62.14,1992.22,0.0
462536,1844,146,1456,1,447012.34,210660.14,290.4,62.14,2006.03,0.0
462536,1844,147,1456,1,447026.07,210661.67,291.2,62.14,2019.83,0.0
462536,1844,148,1456,1,447039.79,210663.21,292.0,62.14,2033.64,0.0
462536,1844,149,1456,1,447053.51,210664.74,292.8,62.14,2047.45,0.0
462536,1844,150,1456,1,447067.24,210666.27,293.6,62.14,2061.26,0.0
462536,1844,151,1456,1,447080.96,210667.81,294.4,62.14,2075.07,0.0
462536,1844,152,1456,1,447094.68,210669.34,295.2,62.14,2088.88,0.0
462536,1844,153,1456,1,447108.41,210670.87,296.0,62.14,2102.69,0.0
462536,1844,154,1456,1,447122.13,210672.41,296.8,62.14,2116.5,0.0
462536,1844,155,1456,1,447135.85,210673.94,297.6,62.14,2130.3,0.0
462536,1844,156,1456,1,447149.58,210675.47,298.4,62.14,2144.11,0.0
462536,1844,157,1456,1,447163.3,210677.01,299.2,62.14,2157.92,0.0
462536,1844,158,1456,1,447177.02,210678.54,300.0,62.14,2171.73,0.0
462536,1844,159,1456,1,447190.75,210680.07,300.8,62.14,2185.54,0.0
462536,1844,160,1456,1,447204.47,210681.61,301.6,62.14,2199.35,0.0
462536,1844,161,1456,1,447218.19,210683.14,302.4,62.14,2213.16,0.0
462536,1844,162,1456,1,447231.92,210684.67,303.2,62.14,2226.97,0.0
462536,1844,163,1456,1,447245.64,210686.21,304.0,62.14,2240.78,0.0
462536,1844,164,1456,1,447259.37,210687.64,304.8,62.14,2254.58,0.0
462536,1844,165,1456,1,447273.14,210688.76,305.6,62.14,2268.39,0.0
462536,1844,166,1456,1,447286.9,210689.89,306.4,62.14,2282.2,0.0
462536,1844,167,1456,1,447300.66,210691.01,307.2,62.14,2296.01,0.0
462536,1844,168,1456,1,447314.43,210692.14,308.0,62.14,2309.82,0.0
462536,1844,169,1456,1,447328.19,210693.26,308.8,62.14,2323.63,0.0
462536,1844,170,1456,1,447341.95,210694.38,309.6,62.14,2337.44,0.0
462536,1844,171,1456,1,447355.72,210695.51,310.4,62.14,2351.25,0.0
462536,1844,172,1456,1,447369.48,210696.63,311.2,62.14,2365.05,0.0
462536,1844,173,1456,1,447383.24,210697.75,312.0,62.14,2378.86,0.0
462536,1844,174,1456,1,447397.0,210698.88,312.8,62.14,2392.67,0.0
462536,1844,175,1456,1,447410.77,210700.0,313.6,62.14,2406.48,0.0
462536,1844,176,1456,1,447424.53,210701.13,314.4,62.14,2420.29,0.0
462536,1844,177,1456,1,447438.29,210702.25,315.2,62.14,2434.1,0.0
462536,1844,178,1456,1,447452.06,210703.37,316.0,62.14,2447.91,0.0
462536,1844,179,1456,1,447465.82,210704.5,316.8,62.14,2461.72,0.0
462536,1844,180,1456,1,447479.58,210705.62,317.6,62.14,2475.52,0.0
462536,1844,181,1456,1,447493.38,210706.26,318.4,62.14,2489.33,0.0
462536,1844,182,1456,1,447507.17,210706.89,319.2,62.14,2503.14,0.0
462536,1844,183,1456,1,447520.97,210707.52,320.0,62.14,2516.95,0.0
462536,1844,184,1456,1,447534.76,210708.16,320.8,62.14,2530.76,0.0
462536,1844,185,1456,1,447548.55,210708.79,321.6,62.14,2544.57,0.0
462536,1844,186,1456,1,447562.35,210709.43,322.4,62.14,2558.38,0.0
462536,1844,187,1456,1,447576.14,210710.06,323.2,62.14,2572.19,0.0
462536,1844,188,1456,1,447589.94,210710.69,324.0,62.14,2586.0,0.0
462536,1844,189,1456,1,447603.73,210711.33,324.8,62.14,2599.8,0.0
