Year;MacroZone;Age;Gender;PopRate
2023;2;05-09;Female;-0.037
2024;2;05-09;Female;-0.034
2025;2;05-09;Female;-0.053
2026;2;05-09;Female;-0.040
2027;2;05-09;Female;-0.018
2028;2;05-09;Female;-0.034
2029;2;05-09;Female;-0.029
2030;2;05-09;Female;0.014
2020;2;00-04;Female;-0.051
2021;2;00-04;Female;-0.026
2022;2;00-04;Female;-0.013
2023;2;00-04;Female;-0.034
2024;2;00-04;Female;-0.031
2025;2;00-04;Female;0.018
2026;2;00-04;Female;0.009
2027;2;00-04;Female;0.023
2028;2;00-04;Female;0.019
2029;2;00-04;Female;0.017
2030;2;00-04;Female;0.015
2020;2;15-19;Female;0.022
2021;2;15-19;Female;-0.015
2022;2;15-19;Female;-0.009
2023;2;15-19;Female;-0.013
2024;2;15-19;Female;0.001
2025;2;15-19;Female;-0.005
2026;2;15-19;Female;-0.048
2027;2;15-19;Female;0.004
2028;2;15-19;Female;0.020
2029;2;15-19;Female;-0.010
2030;2;15-19;Female;-0.024
2020;2;20-24;Female;0.019
2021;2;20-24;Female;0.028
2022;2;20-24;Female;0.030
2023;2;20-24;Female;0.017
2024;2;20-24;Female;0.026
2025;2;20-24;Female;0.018
2026;2;20-24;Female;0.007
2027;2;20-24;Female;-0.007
2028;2;20-24;Female;-0.013
2029;2;20-24;Female;0.002
2030;2;20-24;Female;-0.003
2020;2;25-29;Female;-0.039
2021;2;25-29;Female;-0.039
2022;2;25-29;Female;0.000
2023;2;25-29;Female;0.011
2024;2;25-29;Female;-0.004
2025;2;25-29;Female;0.024
2026;2;25-29;Female;0.042
2027;2;25-29;Female;0.021
2028;2;25-29;Female;0.011
2029;2;25-29;Female;0.018
2030;2;25-29;Female;0.013
2020;2;30-34;Female;0.008
2021;2;30-34;Female;-0.011
2022;2;30-34;Female;0.021
2023;2;30-34;Female;-0.002
2024;2;30-34;Female;-0.015
2025;2;30-34;Female;-0.018
2026;2;30-34;Female;-0.027
2027;2;30-34;Female;-0.003
2028;2;30-34;Female;0.007
2029;2;30-34;Female;-0.002
2030;2;30-34;Female;0.018
2020;2;35-39;Female;-0.026
2021;2;35-39;Female;-0.019
2022;2;35-39;Female;-0.039
2023;2;35-39;Female;-0.011
2024;2;35-39;Female;0.023
2025;2;35-39;Female;0.007
2026;2;35-39;Female;0.019
2027;2;35-39;Female;0.016
2028;2;35-39;Female;-0.001
2029;2;35-39;Female;-0.014
2030;2;35-39;Female;-0.014
2020;2;40-44;Female;-0.048
2021;2;40-44;Female;-0.063
2022;2;40-44;Female;-0.039
2023;2;40-44;Female;-0.048
2024;2;40-44;Female;-0.037
2025;2;40-44;Female;-0.013
2026;2;40-44;Female;-0.011
2027;2;40-44;Female;-0.038
2028;2;40-44;Female;-0.012
2029;2;40-44;Female;0.017
2030;2;40-44;Female;0.004
2020;2;45-49;Female;-0.013
2021;2;45-49;Female;-0.043
2022;2;45-49;Female;-0.024
2023;2;45-49;Female;-0.031
2024;2;45-49;Female;-0.058
2025;2;45-49;Female;-0.054
2026;2;45-49;Female;-0.049
2027;2;45-49;Female;-0.040
2028;2;45-49;Female;-0.046
2029;2;45-49;Female;-0.037
2030;2;45-49;Female;-0.014
2020;2;50-54;Female;-0.014
2021;2;50-54;Female;-0.005
2022;2;50-54;Female;0.013
2023;2;50-54;Female;-0.001
2024;2;50-54;Female;-0.012
2025;2;50-54;Female;-0.022
2026;2;50-54;Female;-0.028
2027;2;50-54;Female;-0.023
2028;2;50-54;Female;-0.031
2029;2;50-54;Female;-0.055
2030;2;50-54;Female;-0.053
2020;2;55-59;Female;0.037
2021;2;55-59;Female;0.024
2022;2;55-59;Female;0.014
2023;2;55-59;Female;0.022
2024;2;55-59;Female;0.029
2025;2;55-59;Female;-0.005
2026;2;55-59;Female;-0.003
2027;2;55-59;Female;0.011
2028;2;55-59;Female;-0.001
2029;2;55-59;Female;-0.012
2030;2;55-59;Female;-0.021
2020;2;60-64;Female;0.030
2021;2;60-64;Female;0.007
2022;2;60-64;Female;0.024
2023;2;60-64;Female;0.021
2024;2;60-64;Female;0.055
2025;2;60-64;Female;0.038
2026;2;60-64;Female;0.047
2027;2;60-64;Female;0.013
2028;2;60-64;Female;0.022
2029;2;60-64;Female;0.027
2030;2;60-64;Female;-0.004
2020;2;65-69;Female;-0.008
2021;2;65-69;Female;0.039
2022;2;65-69;Female;0.021
2023;2;65-69;Female;0.044
2024;2;65-69;Female;0.006
2025;2;65-69;Female;0.047
2026;2;65-69;Female;0.016
2027;2;65-69;Female;0.024
2028;2;65-69;Female;0.020
2029;2;65-69;Female;0.053
2030;2;65-69;Female;0.039
2020;2;70-74;Female;0.030
2021;2;70-74;Female;-0.008
2022;2;70-74;Female;-0.040
2023;2;70-74;Female;-0.052
2024;2;70-74;Female;-0.030
2025;2;70-74;Female;-0.014
2026;2;70-74;Female;0.047
2027;2;70-74;Female;0.022
2028;2;70-74;Female;0.043
2029;2;70-74;Female;0.006
2030;2;70-74;Female;0.047
2020;2;75-79;Female;-0.037
2021;2;75-79;Female;-0.039
2022;2;75-79;Female;0.030
2023;2;75-79;Female;0.076
2024;2;75-79;Female;0.021
2025;2;75-79;Female;0.021
2026;2;75-79;Female;-0.025
2027;2;75-79;Female;-0.038
2028;2;75-79;Female;-0.050
2029;2;75-79;Female;-0.029
2030;2;75-79;Female;-0.011
2020;2;80-84;Female;0.057
2021;2;80-84;Female;0.023
2022;2;80-84;Female;0.023
2023;2;80-84;Female;-0.046
2024;2;80-84;Female;-0.011
2025;2;80-84;Female;-0.041
2026;2;80-84;Female;-0.028
2027;2;80-84;Female;0.036
2028;2;80-84;Female;0.074
2029;2;80-84;Female;0.024
2030;2;80-84;Female;0.022
2020;2;85-89;Female;0.009
2021;2;85-89;Female;-0.026
2022;2;85-89;Female;0.003
2023;2;85-89;Female;0.005
2024;2;85-89;Female;0.036
2025;2;85-89;Female;0.046
2026;2;85-89;Female;0.036
2027;2;85-89;Female;0.021
2028;2;85-89;Female;-0.047
2029;2;85-89;Female;-0.009
2030;2;85-89;Female;-0.036
2020;2;90-94;Female;0.087
2021;2;90-94;Female;-0.004
2022;2;90-94;Female;0.056
2023;2;90-94;Female;0.066
2024;2;90-94;Female;0.021
2025;2;90-94;Female;0.020
2026;2;90-94;Female;0.014
2027;2;90-94;Female;0.003
2028;2;90-94;Female;0.014
2029;2;90-94;Female;0.041
2030;2;90-94;Female;0.053
2020;2;95+;Female;0.051
2021;2;95+;Female;-0.060
2022;2;95+;Female;0.046
2023;2;95+;Female;0.121
2024;2;95+;Female;0.108
2025;2;95+;Female;0.080
2026;2;95+;Female;0.057
2027;2;95+;Female;0.047
2028;2;95+;Female;0.074
2029;2;95+;Female;0.034
2030;2;95+;Female;0.033
2020;3;10-14;Female;0.002
2021;3;10-14;Female;-0.064
2022;3;10-14;Female;-0.015
2023;3;10-14;Female;0.007
2024;3;10-14;Female;-0.007
2025;3;10-14;Female;-0.030
2026;3;10-14;Female;0.004
2027;3;10-14;Female;-0.013
2028;3;10-14;Female;-0.020
2029;3;10-14;Female;-0.031
2030;3;10-14;Female;-0.047
2020;3;05-09;Female;-0.036
2021;3;05-09;Female;-0.011
2022;3;05-09;Female;-0.011
2023;3;05-09;Female;-0.020
2024;3;05-09;Female;-0.030
2025;3;05-09;Female;-0.049
2026;3;05-09;Female;-0.063
2027;3;05-09;Female;-0.055
2028;3;05-09;Female;-0.046
2029;3;05-09;Female;-0.032
2030;3;05-09;Female;0.003
2020;3;00-04;Female;-0.064
2021;3;00-04;Female;-0.102
